K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 157, loss: 0.892264, train acc: 0.853333, train avg acc: 0.856950
Test 157, loss: 0.895093, test acc: 0.850000, test avg acc: 0.841667
Train 158, loss: 0.874322, train acc: 0.900000, train avg acc: 0.902665
Test 158, loss: 0.889340, test acc: 0.875000, test avg acc: 0.869444
Train 159, loss: 0.868645, train acc: 0.913333, train avg acc: 0.914474
Test 159, loss: 0.885439, test acc: 0.875000, test avg acc: 0.869444
Train 160, loss: 0.864364, train acc: 0.886667, train avg acc: 0.885642
Test 160, loss: 0.886471, test acc: 0.875000, test avg acc: 0.869444
Train 161, loss: 0.882289, train acc: 0.906667, train avg acc: 0.904279
Test 161, loss: 0.890385, test acc: 0.850000, test avg acc: 0.844444
Train 162, loss: 0.881983, train acc: 0.846667, train avg acc: 0.852266
Test 162, loss: 0.890515, test acc: 0.850000, test avg acc: 0.841667
Train 163, loss: 0.886739, train acc: 0.866667, train avg acc: 0.872121
Test 163, loss: 0.898037, test acc: 0.875000, test avg acc: 0.866667
Train 164, loss: 0.865025, train acc: 0.926667, train avg acc: 0.926389
Test 164, loss: 0.900886, test acc: 0.900000, test avg acc: 0.894444
Train 165, loss: 0.862769, train acc: 0.913333, train avg acc: 0.912162
Test 165, loss: 0.898543, test acc: 0.900000, test avg acc: 0.894444
Train 166, loss: 0.897532, train acc: 0.886667, train avg acc: 0.885135
Test 166, loss: 0.899423, test acc: 0.850000, test avg acc: 0.844444
Train 167, loss: 0.861834, train acc: 0.893333, train avg acc: 0.895749
Test 167, loss: 0.903591, test acc: 0.825000, test avg acc: 0.819444
Train 168, loss: 0.861261, train acc: 0.900000, train avg acc: 0.900249
Test 168, loss: 0.907375, test acc: 0.825000, test avg acc: 0.813889
Train 169, loss: 0.867419, train acc: 0.900000, train avg acc: 0.902497
Test 169, loss: 0.918572, test acc: 0.825000, test avg acc: 0.811111
Train 170, loss: 0.872474, train acc: 0.880000, train avg acc: 0.880357
Test 170, loss: 0.918503, test acc: 0.825000, test avg acc: 0.811111
Train 171, loss: 0.865050, train acc: 0.920000, train avg acc: 0.923026
