K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 176, loss: 1.071061, train acc: 0.666667, train avg acc: 0.672892
Test 176, loss: 1.023607, test acc: 0.700000, test avg acc: 0.677778
Train 177, loss: 1.060705, train acc: 0.633333, train avg acc: 0.640035
Test 177, loss: 1.012924, test acc: 0.725000, test avg acc: 0.705556
Train 178, loss: 1.067797, train acc: 0.680000, train avg acc: 0.685773
Test 178, loss: 0.996448, test acc: 0.675000, test avg acc: 0.655556
Train 179, loss: 1.050381, train acc: 0.713333, train avg acc: 0.707895
Test 179, loss: 1.001885, test acc: 0.675000, test avg acc: 0.658333
Train 180, loss: 1.063134, train acc: 0.680000, train avg acc: 0.688090
Test 180, loss: 1.003291, test acc: 0.675000, test avg acc: 0.658333
Train 181, loss: 1.040939, train acc: 0.700000, train avg acc: 0.706955
Test 181, loss: 1.004121, test acc: 0.775000, test avg acc: 0.752778
Train 182, loss: 1.085993, train acc: 0.680000, train avg acc: 0.690727
Test 182, loss: 1.014061, test acc: 0.750000, test avg acc: 0.727778
Train 183, loss: 1.078194, train acc: 0.680000, train avg acc: 0.679487
Test 183, loss: 1.007915, test acc: 0.775000, test avg acc: 0.752778
Train 184, loss: 1.090746, train acc: 0.633333, train avg acc: 0.629386
Test 184, loss: 1.011824, test acc: 0.700000, test avg acc: 0.680051
Train 185, loss: 1.032415, train acc: 0.700000, train avg acc: 0.702595
Test 185, loss: 1.022381, test acc: 0.650000, test avg acc: 0.630051
Train 186, loss: 1.035145, train acc: 0.713333, train avg acc: 0.724000
Test 186, loss: 1.040371, test acc: 0.650000, test avg acc: 0.632828
Train 187, loss: 1.032865, train acc: 0.760000, train avg acc: 0.765214
Test 187, loss: 1.017558, test acc: 0.650000, test avg acc: 0.632828
Train 188, loss: 1.017003, train acc: 0.720000, train avg acc: 0.729568
Test 188, loss: 0.993586, test acc: 0.775000, test avg acc: 0.761111
Train 189, loss: 1.017134, train acc: 0.746667, train avg acc: 0.750892
