K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 168, loss: 0.965635, test acc: 0.800000, test avg acc: 0.791667
Train 169, loss: 0.772992, train acc: 0.980000, train avg acc: 0.980601
Test 169, loss: 0.955726, test acc: 0.800000, test avg acc: 0.788889
Train 170, loss: 0.789270, train acc: 0.980000, train avg acc: 0.980076
Test 170, loss: 0.964245, test acc: 0.800000, test avg acc: 0.788889
Train 171, loss: 0.764736, train acc: 1.000000, train avg acc: 1.000000
Test 171, loss: 0.971608, test acc: 0.825000, test avg acc: 0.819444
Train 172, loss: 0.770868, train acc: 0.993333, train avg acc: 0.993421
Test 172, loss: 0.986271, test acc: 0.825000, test avg acc: 0.819444
Train 173, loss: 0.799031, train acc: 0.966667, train avg acc: 0.967105
Test 173, loss: 0.955572, test acc: 0.825000, test avg acc: 0.819444
Train 174, loss: 0.783366, train acc: 0.993333, train avg acc: 0.993421
Test 174, loss: 0.953751, test acc: 0.850000, test avg acc: 0.844444
Train 175, loss: 0.779498, train acc: 0.986667, train avg acc: 0.987011
Test 175, loss: 0.949124, test acc: 0.825000, test avg acc: 0.816667
Train 176, loss: 0.770091, train acc: 0.993333, train avg acc: 0.993590
Test 176, loss: 0.969547, test acc: 0.825000, test avg acc: 0.813889
Train 177, loss: 0.782498, train acc: 0.973333, train avg acc: 0.973506
Test 177, loss: 0.991543, test acc: 0.775000, test avg acc: 0.763889
Train 178, loss: 0.778462, train acc: 0.986667, train avg acc: 0.986447
Test 178, loss: 0.977913, test acc: 0.800000, test avg acc: 0.788889
Train 179, loss: 0.775970, train acc: 1.000000, train avg acc: 1.000000
Test 179, loss: 0.990439, test acc: 0.800000, test avg acc: 0.791667
Train 180, loss: 0.790380, train acc: 0.986667, train avg acc: 0.987340
Test 180, loss: 0.974590, test acc: 0.825000, test avg acc: 0.816667
Train 181, loss: 0.772277, train acc: 0.986667, train avg acc: 0.987171
Test 181, loss: 0.970937, test acc: 0.825000, test avg acc: 0.816667
Train 182, loss: 0.774745, train acc: 0.980000, train avg acc: 0.980769
Test 182, loss: 0.937999, test acc: 0.850000, test avg acc: 0.844444
Train 183, loss: 0.767461, train acc: 0.980000, train avg acc: 0.980076
Test 183, loss: 0.941023, test acc: 0.875000, test avg acc: 0.869444
Train 184, loss: 0.787297, train acc: 0.993333, train avg acc: 0.993243
Test 184, loss: 0.935032, test acc: 0.850000, test avg acc: 0.844444
Train 185, loss: 0.764935, train acc: 1.000000, train avg acc: 1.000000
Test 185, loss: 0.944305, test acc: 0.875000, test avg acc: 0.872222
Train 186, loss: 0.778843, train acc: 0.986667, train avg acc: 0.987011
