K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Train 156, loss: 1.129432, train acc: 0.673333, train avg acc: 0.676529
Test 156, loss: 1.115179, test acc: 0.675000, test avg acc: 0.669444
Train 157, loss: 1.103258, train acc: 0.666667, train avg acc: 0.671941
Test 157, loss: 1.118651, test acc: 0.725000, test avg acc: 0.716667
Train 158, loss: 1.119189, train acc: 0.680000, train avg acc: 0.679054
Test 158, loss: 1.118220, test acc: 0.700000, test avg acc: 0.688889
Train 159, loss: 1.112743, train acc: 0.693333, train avg acc: 0.687719
Test 159, loss: 1.116177, test acc: 0.575000, test avg acc: 0.558333
Train 160, loss: 1.132544, train acc: 0.600000, train avg acc: 0.602092
Test 160, loss: 1.127216, test acc: 0.575000, test avg acc: 0.555556
Train 161, loss: 1.120368, train acc: 0.666667, train avg acc: 0.677823
Test 161, loss: 1.118732, test acc: 0.625000, test avg acc: 0.602778
Train 162, loss: 1.116684, train acc: 0.620000, train avg acc: 0.622340
Test 162, loss: 1.084683, test acc: 0.675000, test avg acc: 0.658333
Train 163, loss: 1.086795, train acc: 0.626667, train avg acc: 0.636135
Test 163, loss: 1.080113, test acc: 0.625000, test avg acc: 0.605556
Train 164, loss: 1.133183, train acc: 0.626667, train avg acc: 0.627156
Test 164, loss: 1.077968, test acc: 0.675000, test avg acc: 0.663889
Train 165, loss: 1.078914, train acc: 0.680000, train avg acc: 0.683549
Test 165, loss: 1.084528, test acc: 0.775000, test avg acc: 0.766667
Train 166, loss: 1.069006, train acc: 0.713333, train avg acc: 0.717105
Test 166, loss: 1.089285, test acc: 0.700000, test avg acc: 0.686111
Train 167, loss: 1.114756, train acc: 0.646667, train avg acc: 0.654326
Test 167, loss: 1.135678, test acc: 0.575000, test avg acc: 0.558333
Train 168, loss: 1.087341, train acc: 0.700000, train avg acc: 0.704438
Test 168, loss: 1.159846, test acc: 0.675000, test avg acc: 0.663889
Train 169, loss: 1.076435, train acc: 0.680000, train avg acc: 0.681010
Test 169, loss: 1.109746, test acc: 0.625000, test avg acc: 0.605556
Train 170, loss: 1.124083, train acc: 0.640000, train avg acc: 0.647048
Test 170, loss: 1.092545, test acc: 0.625000, test avg acc: 0.608333
Train 171, loss: 1.083008, train acc: 0.680000, train avg acc: 0.685869
Test 171, loss: 1.051765, test acc: 0.750000, test avg acc: 0.738889
Train 172, loss: 1.107675, train acc: 0.726667, train avg acc: 0.731838
Test 172, loss: 1.038768, test acc: 0.725000, test avg acc: 0.711111
Train 173, loss: 1.114168, train acc: 0.666667, train avg acc: 0.674597
Test 173, loss: 1.035624, test acc: 0.800000, test avg acc: 0.794444
Train 174, loss: 1.101030, train acc: 0.693333, train avg acc: 0.695768
Test 174, loss: 1.060730, test acc: 0.775000, test avg acc: 0.769444
Train 175, loss: 1.071538, train acc: 0.720000, train avg acc: 0.724243
Test 175, loss: 1.102989, test acc: 0.750000, test avg acc: 0.744444
Train 176, loss: 1.119557, train acc: 0.660000, train avg acc: 0.659217
Test 176, loss: 1.051667, test acc: 0.800000, test avg acc: 0.794444
Train 177, loss: 1.079418, train acc: 0.693333, train avg acc: 0.698614
Test 177, loss: 1.033560, test acc: 0.775000, test avg acc: 0.761111
Train 178, loss: 1.083416, train acc: 0.720000, train avg acc: 0.726200
Test 178, loss: 1.037373, test acc: 0.750000, test avg acc: 0.733333
Train 179, loss: 1.077962, train acc: 0.686667, train avg acc: 0.696421
Test 179, loss: 1.067755, test acc: 0.650000, test avg acc: 0.633333
Train 180, loss: 1.099941, train acc: 0.673333, train avg acc: 0.674431
Test 180, loss: 1.059594, test acc: 0.700000, test avg acc: 0.683333
Train 181, loss: 1.106454, train acc: 0.686667, train avg acc: 0.689958
Test 181, loss: 1.081492, test acc: 0.700000, test avg acc: 0.683333
Train 182, loss: 1.048606, train acc: 0.780000, train avg acc: 0.786163
Test 182, loss: 1.060692, test acc: 0.775000, test avg acc: 0.766667
Train 183, loss: 1.067341, train acc: 0.706667, train avg acc: 0.705174
Test 183, loss: 1.058197, test acc: 0.800000, test avg acc: 0.794444
Train 184, loss: 1.069007, train acc: 0.726667, train avg acc: 0.726646
Test 184, loss: 1.035487, test acc: 0.700000, test avg acc: 0.686111
Train 185, loss: 1.036843, train acc: 0.726667, train avg acc: 0.726529
Test 185, loss: 1.097592, test acc: 0.550000, test avg acc: 0.525000
Train 186, loss: 1.089778, train acc: 0.706667, train avg acc: 0.709622
Test 186, loss: 1.080930, test acc: 0.625000, test avg acc: 0.602778
Train 187, loss: 1.081313, train acc: 0.693333, train avg acc: 0.696976
Test 187, loss: 1.062958, test acc: 0.725000, test avg acc: 0.713889
Train 188, loss: 1.066138, train acc: 0.773333, train avg acc: 0.775605
Test 188, loss: 1.059124, test acc: 0.750000, test avg acc: 0.741667
Train 189, loss: 1.081657, train acc: 0.726667, train avg acc: 0.728411
Test 189, loss: 1.050474, test acc: 0.725000, test avg acc: 0.716667
