K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 129, loss: 0.801649, train acc: 0.973333, train avg acc: 0.974306
Test 129, loss: 0.967258, test acc: 0.800000, test avg acc: 0.786111
Train 130, loss: 0.796385, train acc: 0.973333, train avg acc: 0.972598
Test 130, loss: 0.959433, test acc: 0.850000, test avg acc: 0.847222
Train 131, loss: 0.798497, train acc: 0.973333, train avg acc: 0.973151
Test 131, loss: 0.940879, test acc: 0.800000, test avg acc: 0.794444
Train 132, loss: 0.789264, train acc: 0.973333, train avg acc: 0.974493
Test 132, loss: 0.952240, test acc: 0.800000, test avg acc: 0.788889
Train 133, loss: 0.800295, train acc: 0.966667, train avg acc: 0.968750
Test 133, loss: 0.944729, test acc: 0.750000, test avg acc: 0.736111
Train 134, loss: 0.835040, train acc: 0.906667, train avg acc: 0.906250
Test 134, loss: 0.950203, test acc: 0.775000, test avg acc: 0.763889
Train 135, loss: 0.822944, train acc: 0.953333, train avg acc: 0.953592
Test 135, loss: 0.945678, test acc: 0.775000, test avg acc: 0.763889
Train 136, loss: 0.811272, train acc: 0.960000, train avg acc: 0.959993
Test 136, loss: 0.942858, test acc: 0.800000, test avg acc: 0.786111
Train 137, loss: 0.812146, train acc: 0.953333, train avg acc: 0.955128
Test 137, loss: 0.990773, test acc: 0.825000, test avg acc: 0.808333
Train 138, loss: 0.784136, train acc: 0.993333, train avg acc: 0.993750
Test 138, loss: 0.927678, test acc: 0.775000, test avg acc: 0.758333
Train 139, loss: 0.785122, train acc: 0.973333, train avg acc: 0.972973
Test 139, loss: 0.936693, test acc: 0.875000, test avg acc: 0.863889
Train 140, loss: 0.802378, train acc: 0.973333, train avg acc: 0.973319
Test 140, loss: 0.945889, test acc: 0.875000, test avg acc: 0.863889
Train 141, loss: 0.811173, train acc: 0.953333, train avg acc: 0.955128
Test 141, loss: 0.909972, test acc: 0.875000, test avg acc: 0.866667
Train 142, loss: 0.795041, train acc: 0.966667, train avg acc: 0.967736
Test 142, loss: 0.905258, test acc: 0.825000, test avg acc: 0.816667
Train 143, loss: 0.795147, train acc: 0.973333, train avg acc: 0.973291
Test 143, loss: 0.909206, test acc: 0.825000, test avg acc: 0.813889
Train 144, loss: 0.782781, train acc: 0.973333, train avg acc: 0.973684
Test 144, loss: 0.935367, test acc: 0.800000, test avg acc: 0.786111
Train 145, loss: 0.816768, train acc: 0.926667, train avg acc: 0.930075
Test 145, loss: 0.936307, test acc: 0.800000, test avg acc: 0.786111
Train 146, loss: 0.788904, train acc: 0.980000, train avg acc: 0.979861
Test 146, loss: 0.937409, test acc: 0.800000, test avg acc: 0.788889
Train 147, loss: 0.798203, train acc: 0.960000, train avg acc: 0.959430
Test 147, loss: 0.947032, test acc: 0.850000, test avg acc: 0.838889
Train 148, loss: 0.780777, train acc: 0.980000, train avg acc: 0.980423
Test 148, loss: 0.920914, test acc: 0.850000, test avg acc: 0.838889
Train 149, loss: 0.783373, train acc: 0.980000, train avg acc: 0.979861
Test 149, loss: 0.915821, test acc: 0.825000, test avg acc: 0.813889
Train 150, loss: 0.784932, train acc: 0.986667, train avg acc: 0.987179
Test 150, loss: 0.914799, test acc: 0.850000, test avg acc: 0.838889
Train 151, loss: 0.777318, train acc: 0.973333, train avg acc: 0.973506
Test 151, loss: 0.923982, test acc: 0.875000, test avg acc: 0.863889
Train 152, loss: 0.784288, train acc: 0.980000, train avg acc: 0.979699
Test 152, loss: 0.916941, test acc: 0.875000, test avg acc: 0.863889
Train 153, loss: 0.796244, train acc: 0.986667, train avg acc: 0.986842
Test 153, loss: 0.910887, test acc: 0.850000, test avg acc: 0.841667
Train 154, loss: 0.783840, train acc: 0.973333, train avg acc: 0.973666
Test 154, loss: 0.928456, test acc: 0.850000, test avg acc: 0.838889
Train 155, loss: 0.801564, train acc: 0.973333, train avg acc: 0.973684
Test 155, loss: 0.937518, test acc: 0.825000, test avg acc: 0.811111
Train 156, loss: 0.776160, train acc: 0.986667, train avg acc: 0.986842
Test 156, loss: 0.915610, test acc: 0.825000, test avg acc: 0.816667
Train 157, loss: 0.791866, train acc: 0.986667, train avg acc: 0.987179
Test 157, loss: 0.912667, test acc: 0.825000, test avg acc: 0.816667
Train 158, loss: 0.798396, train acc: 0.986667, train avg acc: 0.986486
Test 158, loss: 0.911132, test acc: 0.825000, test avg acc: 0.816667
Train 159, loss: 0.798910, train acc: 0.966667, train avg acc: 0.968092
Test 159, loss: 0.946747, test acc: 0.825000, test avg acc: 0.811111
Train 160, loss: 0.772899, train acc: 0.993333, train avg acc: 0.993421
Test 160, loss: 0.961724, test acc: 0.825000, test avg acc: 0.808333
Train 161, loss: 0.775457, train acc: 0.986667, train avg acc: 0.986664
Test 161, loss: 0.929934, test acc: 0.875000, test avg acc: 0.866667
Train 162, loss: 0.774553, train acc: 0.973333, train avg acc: 0.974647
Test 162, loss: 0.955614, test acc: 0.825000, test avg acc: 0.822222
Train 163, loss: 0.798504, train acc: 0.966667, train avg acc: 0.967105
Test 163, loss: 0.951571, test acc: 0.850000, test avg acc: 0.847222
Train 164, loss: 0.773243, train acc: 0.986667, train avg acc: 0.986664
Test 164, loss: 0.972936, test acc: 0.825000, test avg acc: 0.813889
Train 165, loss: 0.784355, train acc: 0.986667, train avg acc: 0.987500
Test 165, loss: 0.979902, test acc: 0.800000, test avg acc: 0.786111
Train 166, loss: 0.773602, train acc: 0.986667, train avg acc: 0.987011
