K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 169, loss: 0.753228, train acc: 1.000000, train avg acc: 1.000000
Test 169, loss: 1.014696, test acc: 0.750000, test avg acc: 0.741667
Train 170, loss: 0.789554, train acc: 0.966667, train avg acc: 0.967602
Test 170, loss: 1.021038, test acc: 0.725000, test avg acc: 0.713889
Train 171, loss: 0.760847, train acc: 1.000000, train avg acc: 1.000000
Test 171, loss: 1.006820, test acc: 0.775000, test avg acc: 0.769444
Train 172, loss: 0.764344, train acc: 1.000000, train avg acc: 1.000000
Test 172, loss: 1.018557, test acc: 0.775000, test avg acc: 0.769444
Train 173, loss: 0.779070, train acc: 0.993333, train avg acc: 0.993421
Test 173, loss: 1.028216, test acc: 0.750000, test avg acc: 0.741667
Train 174, loss: 0.763645, train acc: 1.000000, train avg acc: 1.000000
Test 174, loss: 1.044375, test acc: 0.775000, test avg acc: 0.769444
Train 175, loss: 0.763447, train acc: 1.000000, train avg acc: 1.000000
Test 175, loss: 1.063096, test acc: 0.775000, test avg acc: 0.769444
Train 176, loss: 0.766628, train acc: 0.993333, train avg acc: 0.993421
Test 176, loss: 1.072097, test acc: 0.775000, test avg acc: 0.769444
Train 177, loss: 0.763844, train acc: 0.993333, train avg acc: 0.993421
Test 177, loss: 1.066339, test acc: 0.775000, test avg acc: 0.769444
Train 178, loss: 0.768408, train acc: 1.000000, train avg acc: 1.000000
Test 178, loss: 1.047358, test acc: 0.775000, test avg acc: 0.769444
Train 179, loss: 0.773790, train acc: 0.993333, train avg acc: 0.993750
Test 179, loss: 1.028169, test acc: 0.775000, test avg acc: 0.769444
Train 180, loss: 0.777167, train acc: 0.993333, train avg acc: 0.993750
Test 180, loss: 1.021892, test acc: 0.750000, test avg acc: 0.738889
Train 181, loss: 0.760832, train acc: 1.000000, train avg acc: 1.000000
Test 181, loss: 1.009074, test acc: 0.750000, test avg acc: 0.741667
Train 182, loss: 0.760675, train acc: 1.000000, train avg acc: 1.000000
Test 182, loss: 1.038624, test acc: 0.750000, test avg acc: 0.741667
Train 183, loss: 0.761240, train acc: 1.000000, train avg acc: 1.000000
Test 183, loss: 1.027523, test acc: 0.800000, test avg acc: 0.797222
Train 184, loss: 0.768849, train acc: 1.000000, train avg acc: 1.000000
Test 184, loss: 1.020278, test acc: 0.750000, test avg acc: 0.741667
Train 185, loss: 0.766472, train acc: 0.993333, train avg acc: 0.993902
Test 185, loss: 1.010428, test acc: 0.800000, test avg acc: 0.797222
Train 186, loss: 0.768521, train acc: 1.000000, train avg acc: 1.000000
Test 186, loss: 1.025957, test acc: 0.800000, test avg acc: 0.797222
Train 187, loss: 0.770261, train acc: 0.986667, train avg acc: 0.986299
Test 187, loss: 1.032089, test acc: 0.775000, test avg acc: 0.769444
Train 188, loss: 0.769158, train acc: 0.986667, train avg acc: 0.986486
Test 188, loss: 0.990568, test acc: 0.775000, test avg acc: 0.769444
Train 189, loss: 0.777002, train acc: 0.986667, train avg acc: 0.987179
