K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Train 102, loss: 0.885827, train acc: 0.833333, train avg acc: 0.837888
Test 102, loss: 0.910029, test acc: 0.750000, test avg acc: 0.738889
Train 103, loss: 0.889714, train acc: 0.866667, train avg acc: 0.870833
Test 103, loss: 0.905351, test acc: 0.775000, test avg acc: 0.755556
Train 104, loss: 0.892293, train acc: 0.846667, train avg acc: 0.844595
Test 104, loss: 0.909605, test acc: 0.725000, test avg acc: 0.711111
Train 105, loss: 0.875763, train acc: 0.873333, train avg acc: 0.875000
Test 105, loss: 0.915334, test acc: 0.775000, test avg acc: 0.766667
Train 106, loss: 0.896406, train acc: 0.886667, train avg acc: 0.883999
Test 106, loss: 0.912888, test acc: 0.775000, test avg acc: 0.761111
Train 107, loss: 0.886474, train acc: 0.880000, train avg acc: 0.886184
Test 107, loss: 0.917139, test acc: 0.750000, test avg acc: 0.733333
Train 108, loss: 0.900166, train acc: 0.833333, train avg acc: 0.837213
Test 108, loss: 0.914554, test acc: 0.750000, test avg acc: 0.736111
Train 109, loss: 0.908906, train acc: 0.866667, train avg acc: 0.866999
Test 109, loss: 0.934440, test acc: 0.750000, test avg acc: 0.741667
Train 110, loss: 0.888660, train acc: 0.833333, train avg acc: 0.839744
Test 110, loss: 0.937653, test acc: 0.750000, test avg acc: 0.738889
Train 111, loss: 0.878979, train acc: 0.866667, train avg acc: 0.869643
Test 111, loss: 0.937275, test acc: 0.750000, test avg acc: 0.736111
Train 112, loss: 0.903605, train acc: 0.846667, train avg acc: 0.852196
Test 112, loss: 0.923000, test acc: 0.750000, test avg acc: 0.738889
Train 113, loss: 0.870820, train acc: 0.866667, train avg acc: 0.862218
Test 113, loss: 0.928769, test acc: 0.750000, test avg acc: 0.741667
Train 114, loss: 0.878271, train acc: 0.860000, train avg acc: 0.858108
Test 114, loss: 0.933931, test acc: 0.750000, test avg acc: 0.741667
Train 115, loss: 0.873550, train acc: 0.873333, train avg acc: 0.867260
Test 115, loss: 0.927968, test acc: 0.725000, test avg acc: 0.713889
Train 116, loss: 0.873089, train acc: 0.873333, train avg acc: 0.877196
Test 116, loss: 0.922380, test acc: 0.750000, test avg acc: 0.738889
Train 117, loss: 0.906691, train acc: 0.846667, train avg acc: 0.849446
Test 117, loss: 0.927746, test acc: 0.725000, test avg acc: 0.713889
Train 118, loss: 0.885241, train acc: 0.846667, train avg acc: 0.854647
Test 118, loss: 0.929594, test acc: 0.750000, test avg acc: 0.741667
Train 119, loss: 0.879744, train acc: 0.873333, train avg acc: 0.875000
Test 119, loss: 0.934073, test acc: 0.750000, test avg acc: 0.741667
Train 120, loss: 0.886021, train acc: 0.873333, train avg acc: 0.878205
Test 120, loss: 0.933323, test acc: 0.750000, test avg acc: 0.738889
Train 121, loss: 0.900355, train acc: 0.833333, train avg acc: 0.838682
Test 121, loss: 0.938899, test acc: 0.725000, test avg acc: 0.711111
Train 122, loss: 0.885234, train acc: 0.866667, train avg acc: 0.866465
Test 122, loss: 0.938229, test acc: 0.725000, test avg acc: 0.711111
Train 123, loss: 0.873176, train acc: 0.860000, train avg acc: 0.866118
Test 123, loss: 0.934174, test acc: 0.725000, test avg acc: 0.708333
Train 124, loss: 0.893390, train acc: 0.826667, train avg acc: 0.830466
Test 124, loss: 0.933977, test acc: 0.750000, test avg acc: 0.736111
Train 125, loss: 0.893093, train acc: 0.846667, train avg acc: 0.846528
Test 125, loss: 0.931655, test acc: 0.750000, test avg acc: 0.738889
Train 126, loss: 0.886013, train acc: 0.853333, train avg acc: 0.852596
Test 126, loss: 0.931981, test acc: 0.775000, test avg acc: 0.763889
Train 127, loss: 0.904404, train acc: 0.860000, train avg acc: 0.863192
Test 127, loss: 0.921460, test acc: 0.775000, test avg acc: 0.763889
Train 128, loss: 0.877788, train acc: 0.846667, train avg acc: 0.854483
Test 128, loss: 0.914680, test acc: 0.800000, test avg acc: 0.786111
Train 129, loss: 0.907675, train acc: 0.826667, train avg acc: 0.834871
Test 129, loss: 0.918148, test acc: 0.775000, test avg acc: 0.766667
Train 130, loss: 0.903209, train acc: 0.853333, train avg acc: 0.858232
Test 130, loss: 0.926688, test acc: 0.725000, test avg acc: 0.719444
Train 131, loss: 0.883691, train acc: 0.840000, train avg acc: 0.838675
Test 131, loss: 0.935974, test acc: 0.725000, test avg acc: 0.722222
Train 132, loss: 0.875573, train acc: 0.846667, train avg acc: 0.850709
