K: 15, local_K: 15, Batch: 28.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 150, loss: 0.772896, train acc: 0.992857, train avg acc: 0.993243
Test 150, loss: 0.943858, test acc: 0.800000, test avg acc: 0.794444
Train 151, loss: 0.769416, train acc: 0.992857, train avg acc: 0.993056
Test 151, loss: 0.984143, test acc: 0.825000, test avg acc: 0.822222
Train 152, loss: 0.784015, train acc: 0.985714, train avg acc: 0.985179
Test 152, loss: 0.966154, test acc: 0.800000, test avg acc: 0.794444
Train 153, loss: 0.788828, train acc: 0.992857, train avg acc: 0.992857
Test 153, loss: 0.953984, test acc: 0.800000, test avg acc: 0.791667
Train 154, loss: 0.774551, train acc: 0.978571, train avg acc: 0.978151
Test 154, loss: 0.954865, test acc: 0.775000, test avg acc: 0.763889
Train 155, loss: 0.817197, train acc: 0.971429, train avg acc: 0.972222
Test 155, loss: 0.959190, test acc: 0.800000, test avg acc: 0.791667
Train 156, loss: 0.782934, train acc: 0.992857, train avg acc: 0.993056
Test 156, loss: 0.979159, test acc: 0.800000, test avg acc: 0.797222
Train 157, loss: 0.777271, train acc: 0.985714, train avg acc: 0.986486
Test 157, loss: 0.985271, test acc: 0.825000, test avg acc: 0.822222
Train 158, loss: 0.787331, train acc: 0.992857, train avg acc: 0.992424
Test 158, loss: 0.955605, test acc: 0.775000, test avg acc: 0.766667
Train 159, loss: 0.766422, train acc: 1.000000, train avg acc: 1.000000
Test 159, loss: 0.936689, test acc: 0.775000, test avg acc: 0.763889
Train 160, loss: 0.784529, train acc: 0.978571, train avg acc: 0.978758
Test 160, loss: 0.940471, test acc: 0.750000, test avg acc: 0.733333
Train 161, loss: 0.765258, train acc: 0.992857, train avg acc: 0.992857
Test 161, loss: 0.910136, test acc: 0.825000, test avg acc: 0.816667
Train 162, loss: 0.757149, train acc: 0.992857, train avg acc: 0.993421
Test 162, loss: 0.911451, test acc: 0.825000, test avg acc: 0.816667
Train 163, loss: 0.779252, train acc: 0.985714, train avg acc: 0.985504
Test 163, loss: 0.921088, test acc: 0.800000, test avg acc: 0.791667
Train 164, loss: 0.762843, train acc: 1.000000, train avg acc: 1.000000
Test 164, loss: 0.916351, test acc: 0.800000, test avg acc: 0.788889
Train 165, loss: 0.782822, train acc: 0.978571, train avg acc: 0.979699
Test 165, loss: 0.919165, test acc: 0.775000, test avg acc: 0.763889
Train 166, loss: 0.775203, train acc: 1.000000, train avg acc: 1.000000
Test 166, loss: 0.949503, test acc: 0.825000, test avg acc: 0.822222
Train 167, loss: 0.772308, train acc: 1.000000, train avg acc: 1.000000
Test 167, loss: 0.971546, test acc: 0.825000, test avg acc: 0.825000
Train 168, loss: 0.759043, train acc: 1.000000, train avg acc: 1.000000
Test 168, loss: 0.946773, test acc: 0.825000, test avg acc: 0.822222
Train 169, loss: 0.764691, train acc: 0.992857, train avg acc: 0.993056
Test 169, loss: 0.936074, test acc: 0.825000, test avg acc: 0.819444
Train 170, loss: 0.773027, train acc: 1.000000, train avg acc: 1.000000
Test 170, loss: 0.912244, test acc: 0.825000, test avg acc: 0.816667
Train 171, loss: 0.759233, train acc: 1.000000, train avg acc: 1.000000
Test 171, loss: 0.921924, test acc: 0.800000, test avg acc: 0.791667
Train 172, loss: 0.771002, train acc: 0.978571, train avg acc: 0.978571
Test 172, loss: 0.932186, test acc: 0.800000, test avg acc: 0.794444
Train 173, loss: 0.774527, train acc: 0.985714, train avg acc: 0.986100
Test 173, loss: 0.939436, test acc: 0.775000, test avg acc: 0.766667
Train 174, loss: 0.761299, train acc: 1.000000, train avg acc: 1.000000
Test 174, loss: 0.967248, test acc: 0.775000, test avg acc: 0.769444
Train 175, loss: 0.769126, train acc: 0.992857, train avg acc: 0.993243
Test 175, loss: 0.962849, test acc: 0.825000, test avg acc: 0.822222
Train 176, loss: 0.771538, train acc: 1.000000, train avg acc: 1.000000
Test 176, loss: 0.958528, test acc: 0.825000, test avg acc: 0.822222
Train 177, loss: 0.757487, train acc: 1.000000, train avg acc: 1.000000
Test 177, loss: 0.939802, test acc: 0.800000, test avg acc: 0.791667
Train 178, loss: 0.765342, train acc: 1.000000, train avg acc: 1.000000
Test 178, loss: 0.930408, test acc: 0.775000, test avg acc: 0.763889
Train 179, loss: 0.782260, train acc: 0.978571, train avg acc: 0.979699
Test 179, loss: 0.946707, test acc: 0.800000, test avg acc: 0.794444
Train 180, loss: 0.765370, train acc: 0.985714, train avg acc: 0.986111
Test 180, loss: 0.942129, test acc: 0.775000, test avg acc: 0.766667
Train 181, loss: 0.764873, train acc: 1.000000, train avg acc: 1.000000
Test 181, loss: 0.944300, test acc: 0.800000, test avg acc: 0.791667
Train 182, loss: 0.788631, train acc: 0.985714, train avg acc: 0.985913
Test 182, loss: 0.952428, test acc: 0.800000, test avg acc: 0.791667
Train 183, loss: 0.762573, train acc: 0.992857, train avg acc: 0.993056
Test 183, loss: 0.953263, test acc: 0.775000, test avg acc: 0.763889
Train 184, loss: 0.778996, train acc: 1.000000, train avg acc: 1.000000
Test 184, loss: 0.941829, test acc: 0.800000, test avg acc: 0.791667
Train 185, loss: 0.763156, train acc: 0.985714, train avg acc: 0.985890
Test 185, loss: 0.943376, test acc: 0.800000, test avg acc: 0.791667
Train 186, loss: 0.766268, train acc: 0.992857, train avg acc: 0.992647
Test 186, loss: 0.956494, test acc: 0.825000, test avg acc: 0.819444
Train 187, loss: 0.771731, train acc: 1.000000, train avg acc: 1.000000
Test 187, loss: 0.960061, test acc: 0.800000, test avg acc: 0.794444
Train 188, loss: 0.774802, train acc: 0.992857, train avg acc: 0.993056
Test 188, loss: 0.950019, test acc: 0.825000, test avg acc: 0.822222
Train 189, loss: 0.771317, train acc: 1.000000, train avg acc: 1.000000
