K: 16, local_K: 16, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 128, loss: 0.901910, train acc: 0.875000, train avg acc: 0.876677
Test 128, loss: 0.959848, test acc: 0.800000, test avg acc: 0.788889
Train 129, loss: 0.904856, train acc: 0.843750, train avg acc: 0.845579
Test 129, loss: 0.974448, test acc: 0.775000, test avg acc: 0.758333
Train 130, loss: 0.886442, train acc: 0.868750, train avg acc: 0.870579
Test 130, loss: 0.963252, test acc: 0.725000, test avg acc: 0.716667
Train 131, loss: 0.869050, train acc: 0.893750, train avg acc: 0.894817
Test 131, loss: 0.977733, test acc: 0.800000, test avg acc: 0.780556
Train 132, loss: 0.875473, train acc: 0.900000, train avg acc: 0.901220
Test 132, loss: 0.952399, test acc: 0.725000, test avg acc: 0.716667
Train 133, loss: 0.929666, train acc: 0.843750, train avg acc: 0.844328
Test 133, loss: 0.992738, test acc: 0.825000, test avg acc: 0.808333
Train 134, loss: 0.899738, train acc: 0.881250, train avg acc: 0.883079
Test 134, loss: 0.957238, test acc: 0.825000, test avg acc: 0.816667
Train 135, loss: 0.903604, train acc: 0.868750, train avg acc: 0.869665
Test 135, loss: 0.946964, test acc: 0.825000, test avg acc: 0.819444
Train 136, loss: 0.887432, train acc: 0.881250, train avg acc: 0.882774
Test 136, loss: 0.990118, test acc: 0.750000, test avg acc: 0.744444
Train 137, loss: 0.908939, train acc: 0.881250, train avg acc: 0.882317
Test 137, loss: 0.965722, test acc: 0.800000, test avg acc: 0.783333
Train 138, loss: 0.876168, train acc: 0.875000, train avg acc: 0.877134
Test 138, loss: 0.946595, test acc: 0.725000, test avg acc: 0.708333
Train 139, loss: 0.900071, train acc: 0.887500, train avg acc: 0.888720
Test 139, loss: 0.977732, test acc: 0.825000, test avg acc: 0.808333
Train 140, loss: 0.897689, train acc: 0.850000, train avg acc: 0.851524
Test 140, loss: 0.941772, test acc: 0.725000, test avg acc: 0.716667
Train 141, loss: 0.863747, train acc: 0.906250, train avg acc: 0.907774
Test 141, loss: 0.950116, test acc: 0.750000, test avg acc: 0.741667
Train 142, loss: 0.873599, train acc: 0.912500, train avg acc: 0.913720
Test 142, loss: 0.954520, test acc: 0.775000, test avg acc: 0.758333
Train 143, loss: 0.875357, train acc: 0.900000, train avg acc: 0.901220
Test 143, loss: 0.966107, test acc: 0.825000, test avg acc: 0.816667
Train 144, loss: 0.932970, train acc: 0.825000, train avg acc: 0.827134
Test 144, loss: 0.979838, test acc: 0.750000, test avg acc: 0.744444
Train 145, loss: 0.878915, train acc: 0.900000, train avg acc: 0.901067
Test 145, loss: 0.974198, test acc: 0.750000, test avg acc: 0.738889
Train 146, loss: 0.873090, train acc: 0.893750, train avg acc: 0.895274
Test 146, loss: 0.973597, test acc: 0.750000, test avg acc: 0.738889
Train 147, loss: 0.878079, train acc: 0.887500, train avg acc: 0.888567
Test 147, loss: 0.985610, test acc: 0.775000, test avg acc: 0.761111
