K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Test 161, loss: 1.234475, test acc: 0.525000, test avg acc: 0.511869
Train 162, loss: 1.283722, train acc: 0.520000, train avg acc: 0.526812
Test 162, loss: 1.241160, test acc: 0.525000, test avg acc: 0.511869
Train 163, loss: 1.267809, train acc: 0.453333, train avg acc: 0.460172
Test 163, loss: 1.236564, test acc: 0.525000, test avg acc: 0.511869
Train 164, loss: 1.309295, train acc: 0.446667, train avg acc: 0.450694
Test 164, loss: 1.231354, test acc: 0.500000, test avg acc: 0.489646
Train 165, loss: 1.288940, train acc: 0.446667, train avg acc: 0.449751
Test 165, loss: 1.254621, test acc: 0.500000, test avg acc: 0.485101
Train 166, loss: 1.295831, train acc: 0.486667, train avg acc: 0.486477
Test 166, loss: 1.238762, test acc: 0.575000, test avg acc: 0.562879
Train 167, loss: 1.281397, train acc: 0.506667, train avg acc: 0.505643
Test 167, loss: 1.235090, test acc: 0.575000, test avg acc: 0.565152
Train 168, loss: 1.305470, train acc: 0.446667, train avg acc: 0.446353
Test 168, loss: 1.236124, test acc: 0.575000, test avg acc: 0.565152
Train 169, loss: 1.285399, train acc: 0.460000, train avg acc: 0.459104
Test 169, loss: 1.240607, test acc: 0.550000, test avg acc: 0.535101
Train 170, loss: 1.305514, train acc: 0.480000, train avg acc: 0.486298
Test 170, loss: 1.239126, test acc: 0.550000, test avg acc: 0.535101
Train 171, loss: 1.295031, train acc: 0.460000, train avg acc: 0.467167
Test 171, loss: 1.244956, test acc: 0.525000, test avg acc: 0.512374
Train 172, loss: 1.290028, train acc: 0.486667, train avg acc: 0.482906
Test 172, loss: 1.252894, test acc: 0.550000, test avg acc: 0.542424
Train 173, loss: 1.292314, train acc: 0.466667, train avg acc: 0.472765
Test 173, loss: 1.246037, test acc: 0.550000, test avg acc: 0.544697
Train 174, loss: 1.285048, train acc: 0.486667, train avg acc: 0.488976
Test 174, loss: 1.244201, test acc: 0.575000, test avg acc: 0.572475
Train 175, loss: 1.281601, train acc: 0.486667, train avg acc: 0.486481
Test 175, loss: 1.249776, test acc: 0.550000, test avg acc: 0.545202
Train 176, loss: 1.268384, train acc: 0.460000, train avg acc: 0.454782
Test 176, loss: 1.246912, test acc: 0.550000, test avg acc: 0.535101
Train 177, loss: 1.302447, train acc: 0.406667, train avg acc: 0.416736
Test 177, loss: 1.239869, test acc: 0.600000, test avg acc: 0.590152
Train 178, loss: 1.298326, train acc: 0.500000, train avg acc: 0.495279
